ii,dv,comp1,comp2,comp3,comp4,comp5,comp6,fracao_fiscal
3417413,6,BOX,30 A 34,PAV,44,,,"0,123613"
3417414,4,BOX,"35,36,37",PAV,44,,,"0,06608"
3417415,1,BOX,"38,39,40",E,42,PAV,44,"0,082954"
3417416,9,BOX,41,PAV,44,,,"0,028062"
3417417,7,BOX,"43,44",PAV,44,,,"0,046971"
3417418,5,BOX,"45,46",PAV,44,,,"0,046971"
3417419,3,BOX,47,PAV,44,,,"0,01479"
3417420,1,BOX,48,PAV,44,,,"0,013792"
3417421,9,BOX,49,PAV,44,,,"0,006681"
3417422,7,BOX,A,PAV,44,,,"0,004543"
3417423,5,BOX,B,PAV,44,,,"0,008953"
3417424,3,BOX,C,PAV,44,,,"0,004409"
3417199,1,BOX,30,PAV,30,,,"0,830255"
3417200,7,BOX,30 A,PAV,30,,,"0,084872"
3417201,5,BOX,30 HSBC,PAV,30,,,"0,084872"
3417425,0,PAV,53,,,,,1
3417428,4,PAV,57 A,,,,,"0,716253"
3417429,2,PAV,57 B,,,,,"0,283747"
3417430,0,PAV,60,,,,,1
3417431,8,PAV,61,,,,,1
3417432,6,PAV,62,,,,,1
3417434,2,BOX,"1,2",PAV,64,,,"0,037831"
3417435,9,BOX,"3,4",PAV,64,,,"0,040476"
3417436,7,BOX,"5,6",PAV,64,,,"0,066409"
3417437,5,BOX,"7,8",PAV,64,,,"0,068698"
3417438,3,BOX,9 A 12,PAV,64,,,"0,137324"
3417439,1,BOX,13,PAV,64,,,"0,020201"
3417440,9,BOX,14 A 16,PAV,64,,,"0,058471"
3417441,7,BOX,17,PAV,64,,,"0,033806"
3417442,5,BOX,18 A 20,PAV,64,,,"0,101422"
3417443,3,BOX,21,PAV,64,,,"0,033722"
3417444,1,BOX,22 A 24,PAV,64,,,"0,058471"
3417445,8,BOX,25 A27,PAV,64,,,"0,101422"
3417446,6,BOX,28,PAV,64,,,"0,033722"
3417447,4,BOX,29,PAV,64,,,"0,033722"
3417448,2,BOX,31 A 32,PAV,64,,,"0,110513"
3417449,0,BOX,33,PAV,64,,,"0,025842"
3417450,8,BOX,34,PAV,64,,,"0,037939"
